,tag,avg_rmse,correct_count,term_types,nterms,model,nn_hyperparams,use_hint,numMCTSSims,depth_limit,mcts_cpuct,iters,episodes,reward
0,frrpaxjsdl,23.1821355639502,19,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
1,frrpaxjsdl,96.03510482795464,9,12,3,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
2,zqsknjiguy,23.79898104846263,13,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
3,hmdasqhjjr,119.3728848782092,0,12,3,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
4,eanuiailaw,49.41562721505839,8,12,2,MLP,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
5,xnqbxgystg,72.6094530102323,7,12,3,MLP,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
6,iaklejgcqo,35.20173556880874,16,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,1000,4,1,3,4,10
7,ziadnwewxj,22.04497282160139,10,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,500,4,1,3,4,10
8,vkqrwfuchx,105.91480373623148,0,12,3,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",True,500,4,1,3,4,10
9,vekxycboeb,26.015754943705968,19,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,500,4,1,3,4,10
10,pmqmqeocog,72.35004538336916,2,12,3,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,500,4,1,3,4,10
11,ilswfdjwym,25.07348389891606,11,12,2,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,1000,4,1,3,4,10
12,rtqjlmdwzj,107.86095249880381,0,12,3,GRU,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,1000,4,1,3,4,10
13,mqzxilvgcu,33.425834172692554,26,12,2,MLP,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,1000,4,1,3,4,10
14,pmperoitcy,48.639759487329705,1,12,3,MLP,"{'embed_size': 20, 'hidden_size': 40, 'num_layers': 3}",False,1000,4,1,3,4,10
